#PROFILE,#PACKAGE_TYPE,#PRIVILEGE_LEVEL,#API_VERSION_ISSUED,#API_VERSION_EXPIRED,#DOCUMENTED,#PRIVILEGE_NAME,#NOTE,#PRIVILEGE_DISPLAY,#PRIVILEGE_DESCRIPTION,#PRIVILEGE_GROUP,#CHANGED_TO_2_3_1,#CHANGED_TO_2_4_0
common,wrt,public,2.1,9.9,yes,http://tizen.org/privilege/mediacapture,,IDS_TPLATFORM_HEADER_CAPTURING_MEDIA_DATA,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_CAPTURE_VIDEO_AND_AUDIO_DATA,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/mediacontent,,,,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,http://tizen.org/privilege/content.read or http://tizen.org/privilege/content.write,http://tizen.org/privilege/content.read or http://tizen.org/privilege/content.write
common,wrt,public,1,2,yes,http://tizen.org/privilege/mediacontent.read,,,,IDS_TPLATFORM_BODY_PERSONAL_INFORMATION_ABB,http://tizen.org/privilege/content.read,http://tizen.org/privilege/content.read
common,wrt,public,2.4,9.9,yes,http://tizen.org/privilege/mediacontroller.client,,IDS_TPLATFORM_HEADER_CONTROLLING_MEDIA_PLAYER,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RECEIVE_INFORMATION_ABOUT_CURRENTLY_PLAYING_MEDIA_FROM_APPLICATIONS_THAT_ARE_ALLOWED_TO_SEND_IT_MSG,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
common,wrt,public,2.4,9.9,yes,http://tizen.org/privilege/mediacontroller.server,,IDS_TPLATFORM_HEADER_ACCEPTING_REMOTE_CONTROLS,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_SEND_INFORMATION_ABOUT_CURRENTLY_PLAYING_MEDIA_TO_APPLICATIONS_THAT_ARE_ALLOWED_TO_RECEIVE_IT_MSG,IDS_TPLATFORM_BODY_HARDWARE_CONTROLS_ABB,,
common,wrt,public,1,2,yes,http://tizen.org/privilege/messaging,,,,IDS_TPLATFORM_BODY_PAID_SERVICES_ABB,http://tizen.org/privilege/messaging.read or http://tizen.org/privilege/messaging.write,http://tizen.org/privilege/messaging.read or http://tizen.org/privilege/messaging.write
mobile,wrt,public,1,9.9,yes,http://tizen.org/privilege/messaging.read,,IDS_TPLATFORM_BODY_ACCESSING_MESSAGES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RETRIEVE_EMAILS_TEXT_MESSAGES_AND_MULTIMEDIA_MESSAGES_FROM_THE_SERVER_OR_RECEIVE_THEM_DIRECTLY_MSG,IDS_TPLATFORM_BODY_PAID_SERVICES_ABB,,
mobile,wrt,public,1,2.1,yes,http://tizen.org/privilege/messaging.send,,IDS_TPLATFORM_BODY_WRITING_MESSAGES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_WRITE_TEXT_MESSAGES_MULTIMEDIA_MESSAGES_AND_EMAILS_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_PAID_SERVICES_ABB,http://tizen.org/privilege/messaging.write,http://tizen.org/privilege/messaging.write
mobile,wrt,public,1,9.9,yes,http://tizen.org/privilege/messaging.write,,IDS_TPLATFORM_BODY_WRITING_MESSAGES,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_WRITE_TEXT_MESSAGES_MULTIMEDIA_MESSAGES_AND_EMAILS_THIS_MAY_RESULT_IN_ADDITIONAL_CHARGES_DEPENDING_ON_YOUR_PAYMENT_PLAN,IDS_TPLATFORM_BODY_PAID_SERVICES_ABB,,
mobile,wrt,partner,2.1,9.9,yes,http://tizen.org/privilege/networkbearerselection,,IDS_TPLATFORM_BODY_SELECTING_NETWORK_CONNECTION,IDS_TPLATFORM_BODY_THIS_APPLICATION_CAN_RESTRICT_THE_DEVICE_SO_SOME_SPECIFIC_DOMAINS_CAN_ONLY_BE_ACCESSED_VIA_MOBILE_NETWORKS_MSG,IDS_TPLATFORM_BODY_SYSTEM_SETTINGS_ABB,,
